League	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	2.25	3.6	3.3	1	1	0	1	1	2
1	1.36	5.5	9	2	0	2	2	0	1
1	2.55	3.5	2.88	0	0	0	0	0	2
1	2.3	3.4	3.4	2	1	1	6	1	1
1	1.73	3.9	5.25	0	1	-1	2	4	3
1	2.55	3.3	3	0	0	0	1	2	3
1	8	4.75	1.44	0	1	-1	0	1	3
1	5.25	3.8	1.75	0	0	0	0	0	2
1	1.44	4.75	8	0	0	0	1	0	1
1	2.45	3.5	3	1	1	0	2	3	3
1	2.38	3.4	3.25	0	0	0	0	0	2
1	1.95	3.6	4.2	0	0	0	0	0	2
1	2.2	3.5	3.5	0	0	0	0	1	3
1	2.1	3.3	4	0	1	-1	1	1	2
1	1.4	5	9	1	0	1	1	0	1
1	1.83	3.75	4.75	1	0	1	2	3	3
1	1.95	3.75	4	2	1	1	2	2	2
1	4.5	3.8	1.85	1	0	1	1	2	3
1	1.5	4.5	7.5	1	0	1	2	0	1
1	3.9	3.6	2.05	1	1	0	1	3	3
1	1.3	5.75	12	1	0	1	2	1	1
1	2.2	3.4	3.6	1	0	1	4	0	1
1	3.4	3.4	2.3	1	2	-1	1	2	3
1	4.5	3.6	1.91	1	1	0	1	2	3
1	2.8	3.2	2.8	0	0	0	1	1	2
1	1.4	5.5	8	1	1	0	4	1	1
1	6	4.33	1.6	0	1	-1	0	2	3
1	1.7	4	5.5	1	1	0	2	1	1
1	1.25	7	12	1	0	1	1	0	1
1	1.33	5.5	11	1	1	0	2	3	3
1	6	4.6	1.55	0	0	0	0	1	3
1	1.75	3.8	5.25	0	0	0	1	1	2
1	1.8	3.8	4.75	0	1	-1	0	3	3
1	1.29	6	12	0	0	0	1	0	1
1	4.5	3.9	1.83	1	3	-2	5	5	2
1	1.67	4	5.75	2	0	2	4	2	1
1	2.15	3.6	3.6	2	1	1	2	2	2
